objective_profit,portfolio_standard_deviation,1326台化,2002中鋼,2886兆豐金,2207和泰車,2454聯發科,2317鴻海,3711日月光投控,2891中信金,3008大立光,2330台積電,2303聯電,2881富邦金,2308台達電,6505台塑化,3045台灣大,2412中華電,1303南亞,1216統一,2882國泰金,1301台塑
0.004544936909946326,0.016406,0.0,0.021226,0.0,0.079527,0.221215,0.033609,0.001975,0.0,0.0,0.15266,0.31776,0.013888,0.146796,0.0,0.0,0.003517,0.0,0.0,0.007828,0.0
0.004614275547442575,0.016616,0.0,0.019146,0.0,0.07914,0.224933,0.031888,0.0,0.0,0.0,0.154388,0.324273,0.011596,0.148355,0.0,0.0,0.000921,0.0,0.0,0.005359,0.0
0.004683614184938824,0.016834,0.0,0.016282,0.0,0.078218,0.228715,0.029436,0.0,0.0,0.0,0.15589,0.331257,0.008489,0.149663,0.0,0.0,0.0,0.0,0.0,0.002051,0.0
0.0047529528224350736,0.017052,0.0,0.012824,0.0,0.076886,0.232533,0.026429,0.0,0.0,0.0,0.157211,0.338581,0.004765,0.150772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0048222914599313224,0.017272,0.0,0.008812,0.0,0.075169,0.23638,0.022903,0.0,0.0,0.0,0.158361,0.346217,0.000465,0.151693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004891630097427572,0.017495,0.0,0.003414,0.0,0.072483,0.240265,0.01808,0.0,0.0,0.0,0.159061,0.354575,0.0,0.152121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004960968734923821,0.017722,0.0,0.0,0.0,0.068866,0.244157,0.012021,0.0,0.0,0.0,0.159312,0.36358,0.0,0.152064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005030307372420071,0.017955,0.0,0.0,0.0,0.063957,0.248054,0.004249,0.0,0.0,0.0,0.15894,0.373471,0.0,0.151329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00509964600991632,0.018194,0.0,0.0,0.0,0.056654,0.251858,0.0,0.0,0.0,0.0,0.15736,0.384837,0.0,0.149291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0051689846474125695,0.018441,0.0,0.0,0.0,0.046464,0.255551,0.0,0.0,0.0,0.0,0.154323,0.397981,0.0,0.145681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005238323284908818,0.018696,0.0,0.0,0.0,0.036273,0.259244,0.0,0.0,0.0,0.0,0.151286,0.411125,0.0,0.142072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005307661922405068,0.018959,0.0,0.0,0.0,0.026083,0.262936,0.0,0.0,0.0,0.0,0.148249,0.424269,0.0,0.138463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005377000559901317,0.019227,0.0,0.0,0.0,0.015893,0.266629,0.0,0.0,0.0,0.0,0.145212,0.437413,0.0,0.134853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005446339197397567,0.019503,0.0,0.0,0.0,0.005703,0.270322,0.0,0.0,0.0,0.0,0.142174,0.450557,0.0,0.131244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005515677834893816,0.019799,0.0,0.0,0.0,0.0,0.273251,0.0,0.0,0.0,0.0,0.136269,0.465894,0.0,0.124587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005585016472390065,0.020122,0.0,0.0,0.0,0.0,0.27521,0.0,0.0,0.0,0.0,0.126716,0.484019,0.0,0.114055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005654355109886314,0.020452,0.0,0.0,0.0,0.0,0.277169,0.0,0.0,0.0,0.0,0.117164,0.502144,0.0,0.103524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005723693747382564,0.020789,0.0,0.0,0.0,0.0,0.279128,0.0,0.0,0.0,0.0,0.107611,0.520268,0.0,0.092993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005793032384878813,0.021133,0.0,0.0,0.0,0.0,0.281086,0.0,0.0,0.0,0.0,0.098059,0.538393,0.0,0.082462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005862371022375062,0.021483,0.0,0.0,0.0,0.0,0.283045,0.0,0.0,0.0,0.0,0.088506,0.556518,0.0,0.07193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0059317096598713115,0.021839,0.0,0.0,0.0,0.0,0.285004,0.0,0.0,0.0,0.0,0.078954,0.574643,0.0,0.061399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00600104829736756,0.022201,0.0,0.0,0.0,0.0,0.286963,0.0,0.0,0.0,0.0,0.069401,0.592768,0.0,0.050868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00607038693486381,0.022568,0.0,0.0,0.0,0.0,0.288922,0.0,0.0,0.0,0.0,0.059849,0.610893,0.0,0.040337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006139725572360059,0.022941,0.0,0.0,0.0,0.0,0.290881,0.0,0.0,0.0,0.0,0.050296,0.629018,0.0,0.029805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006209064209856309,0.023318,0.0,0.0,0.0,0.0,0.292839,0.0,0.0,0.0,0.0,0.040744,0.647143,0.0,0.019274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006278402847352558,0.0237,0.0,0.0,0.0,0.0,0.294798,0.0,0.0,0.0,0.0,0.031191,0.665268,0.0,0.008743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006347741484848807,0.024085,0.0,0.0,0.0,0.0,0.29606,0.0,0.0,0.0,0.0,0.020194,0.683746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006417080122345056,0.024469,0.0,0.0,0.0,0.0,0.293915,0.0,0.0,0.0,0.0,0.002135,0.70395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006486418759841306,0.02483,0.0,0.0,0.0,0.0,0.264507,0.0,0.0,0.0,0.0,0.0,0.735493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006555757397337555,0.025231,0.0,0.0,0.0,0.0,0.231444,0.0,0.0,0.0,0.0,0.0,0.768556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006625096034833805,0.025677,0.0,0.0,0.0,0.0,0.198381,0.0,0.0,0.0,0.0,0.0,0.801619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006694434672330054,0.026164,0.0,0.0,0.0,0.0,0.165317,0.0,0.0,0.0,0.0,0.0,0.834683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006763773309826303,0.026691,0.0,0.0,0.0,0.0,0.132254,0.0,0.0,0.0,0.0,0.0,0.867746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006833111947322552,0.027255,0.0,0.0,0.0,0.0,0.09919,0.0,0.0,0.0,0.0,0.0,0.90081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006902450584818801,0.027855,0.0,0.0,0.0,0.0,0.066127,0.0,0.0,0.0,0.0,0.0,0.933873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006971789222315051,0.028487,0.0,0.0,0.0,0.0,0.033063,0.0,0.0,0.0,0.0,0.0,0.966937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0070411278598113,0.029149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
